user_id,product_id,view_timestamp,purchase_timestamp
1678,2399,2024-01-05 00:08:37.976013,2024-01-05 03:14:37.976013
1307,2522,2024-01-02 23:45:26.777806,
1004,2863,2024-02-04 04:26:35.394133,
2000,2804,2024-07-05 13:21:38.420056,
1972,2610,2024-03-02 15:24:55.491040,
1963,2521,2023-09-25 02:42:56.019506,
1658,2939,2024-05-05 00:16:52.258924,
1063,2633,2023-12-25 05:41:09.997644,
1105,2974,2024-07-22 15:00:22.001446,
1425,2255,2023-09-29 04:44:43.288451,
1207,2028,2024-05-08 05:41:25.652937,2024-05-08 15:33:25.652937
1628,2069,2023-12-20 12:39:28.309952,2023-12-21 08:34:28.309952
1864,2730,2024-06-29 16:33:01.453884,2024-06-29 20:48:01.453884
1859,2856,2024-02-18 07:55:03.442108,
1170,2758,2024-02-04 20:12:05.536707,2024-02-05 05:37:05.536707
1446,2294,2024-02-19 08:19:56.859448,
1132,2433,2024-08-26 01:58:10.387980,2024-08-26 15:58:10.387980
1199,2215,2024-01-13 13:37:13.377007,2024-01-13 21:33:13.377007
1744,2247,2023-11-18 23:18:05.615740,
1239,2927,2024-05-21 12:12:46.667959,
1560,2051,2024-01-23 21:46:53.994478,
1951,2728,2024-06-28 22:34:01.827254,
1474,2080,2023-12-18 03:42:58.583166,
1461,2911,2023-10-11 21:51:33.505414,
1464,2960,2024-02-13 18:46:07.744315,2024-02-14 10:16:07.744315
1420,2707,2024-02-16 00:18:20.215485,
1854,2114,2024-09-09 04:29:54.082069,
1503,2636,2023-11-16 15:32:41.686236,2023-11-17 13:51:41.686236
1469,2824,2023-12-28 00:47:33.330127,
1044,2415,2023-10-19 05:03:19.090033,2023-10-20 02:17:19.090033
1949,2084,2024-01-09 12:10:25.882009,2024-01-09 23:22:25.882009
1528,2165,2023-12-28 17:12:55.832386,
1145,2037,2024-02-21 14:29:50.014374,
1414,2045,2024-05-30 20:34:03.029253,2024-05-30 21:40:03.029253
1420,2868,2023-11-11 14:28:29.077864,
1019,2365,2024-02-20 20:54:03.590595,2024-02-21 04:06:03.590595
1117,2580,2024-02-22 01:08:16.627984,
1706,2325,2024-06-03 04:47:14.006455,2024-06-03 21:23:14.006455
1042,2297,2024-08-09 16:38:12.719507,2024-08-10 00:15:12.719507
1890,2394,2024-04-23 07:20:49.902955,2024-04-24 02:36:49.902955
1691,2405,2024-02-17 14:17:26.663374,2024-02-18 00:25:26.663374
1881,2743,2024-05-02 07:08:28.211313,
1030,2725,2024-06-26 19:36:40.894234,2024-06-27 15:09:40.894234
1069,2058,2023-10-02 16:29:37.293108,2023-10-03 00:32:37.293108
1820,2445,2024-05-13 21:08:36.789271,
1171,2575,2024-02-07 02:26:53.036186,2024-02-08 00:40:53.036186
1673,2653,2024-03-17 03:17:44.061534,
1609,2446,2024-06-11 15:07:56.716285,
1945,2804,2023-11-09 04:06:42.894439,
1266,2095,2023-09-23 02:40:40.295501,
1897,2071,2024-07-17 16:56:17.366042,
1533,2092,2024-05-16 09:40:15.518098,
1824,2238,2024-02-18 18:37:28.159008,
1916,2486,2023-10-27 20:12:31.552180,2023-10-27 22:52:31.552180
1517,2632,2023-12-06 22:23:07.917145,
1943,2710,2024-05-04 09:02:58.545449,
1019,2384,2024-01-22 00:13:54.325569,
1237,2387,2024-08-23 12:30:26.990277,
1227,2745,2023-09-23 13:35:19.119101,
1153,2639,2023-11-06 18:42:31.614509,
1055,2980,2024-02-23 01:37:11.721375,
1109,2866,2024-01-25 05:29:33.030128,
1951,2368,2024-02-20 21:10:18.948542,
1371,2373,2023-10-09 19:39:57.179848,
1599,2201,2023-11-01 00:42:32.166236,2023-11-01 23:12:32.166236
1275,2211,2024-01-23 18:18:06.654882,
1118,2703,2024-01-04 13:32:02.373817,
1315,2788,2023-12-22 12:38:03.381025,
1283,2943,2024-08-27 13:23:41.712033,
1574,2612,2023-09-21 04:51:24.456528,
1837,2423,2023-11-18 16:33:33.180522,
1758,2763,2024-03-18 20:08:14.933442,2024-03-19 03:16:14.933442
1429,2388,2024-08-10 09:36:03.680725,
1709,2670,2023-10-24 17:58:16.645797,
1728,2285,2024-06-20 18:51:33.616179,2024-06-21 00:02:33.616179
1664,2014,2024-05-25 21:07:59.342272,2024-05-26 15:12:59.342272
1723,2780,2023-11-29 02:34:46.268504,2023-11-29 15:56:46.268504
1344,2715,2024-04-22 05:16:30.720896,2024-04-22 08:49:30.720896
1641,2335,2024-05-22 04:58:27.878435,2024-05-23 02:31:27.878435
1271,2924,2024-09-10 11:26:50.776635,
1419,2726,2023-11-23 20:25:19.059575,
1365,2076,2023-10-31 07:28:09.846020,
1725,2433,2023-10-08 18:49:44.650556,
1522,2047,2023-11-13 19:10:15.296964,2023-11-14 13:54:15.296964
1958,2103,2024-05-29 06:56:09.426787,
1146,2880,2024-09-09 23:28:10.406481,
1027,2732,2024-07-03 18:28:15.656222,
1679,2945,2024-08-30 03:06:58.499743,
1428,2584,2024-09-06 01:47:00.078628,
1766,2162,2024-05-12 15:49:47.958756,
1402,2508,2024-05-27 21:22:05.823877,
1511,2393,2024-03-30 14:50:58.783997,
1494,2200,2023-12-26 18:57:09.901977,
1547,2594,2023-12-30 07:03:17.706554,2023-12-30 09:45:17.706554
1004,2167,2023-11-08 06:21:35.571407,
1409,2412,2024-05-27 21:34:21.234385,
1235,2718,2024-05-24 11:39:38.202657,
1279,2816,2023-11-14 07:44:48.034613,
1678,2311,2024-01-21 18:27:37.388929,2024-01-21 19:59:37.388929
1217,2001,2023-12-02 15:21:17.452530,
1351,2140,2024-09-05 13:08:31.702172,
1620,2178,2024-06-27 00:45:51.356809,2024-06-27 07:09:51.356809
1908,2871,2023-12-07 04:52:45.269188,
1586,2463,2024-03-10 04:11:03.858221,
1122,2017,2024-01-21 13:14:20.345209,2024-01-21 18:36:20.345209
1809,2479,2024-04-07 18:09:11.055141,
1503,2999,2024-02-29 10:52:26.675386,
1710,2498,2024-09-04 18:33:12.832177,
1314,2179,2023-10-29 03:15:00.436473,2023-10-29 12:35:00.436473
1783,2078,2024-07-30 16:47:55.681698,
1357,2416,2023-10-05 18:02:19.600422,2023-10-05 21:40:19.600422
1854,2074,2024-02-04 03:52:53.398953,2024-02-04 12:25:53.398953
1332,2093,2024-05-30 14:10:28.297709,
1519,2269,2024-03-04 13:34:12.506007,
1004,2138,2024-02-08 18:38:17.172919,2024-02-09 12:38:17.172919
1646,2723,2024-02-08 06:42:09.735753,
1970,2905,2024-04-08 17:08:47.572256,2024-04-09 05:15:47.572256
1277,2536,2023-10-27 12:17:28.181483,
1152,2955,2024-01-05 12:41:42.501416,
1324,2869,2023-10-08 19:49:09.949168,2023-10-09 01:03:09.949168
1803,2479,2024-02-28 21:05:19.300477,2024-02-29 05:02:19.300477
1296,2461,2024-03-18 16:45:37.309956,
1846,2141,2023-10-28 14:39:25.430943,
1785,2420,2024-07-10 12:59:33.628585,
1355,2849,2024-03-31 02:18:01.225864,
1761,2589,2024-04-13 10:05:51.323609,
1820,2348,2024-06-18 03:53:46.435743,
1474,2534,2023-10-28 20:46:42.984496,
1439,2835,2024-03-13 09:41:23.752943,2024-03-13 17:07:23.752943
1396,2728,2024-07-24 20:14:29.118604,
1615,2551,2024-07-11 09:28:44.192523,2024-07-11 21:05:44.192523
1493,2268,2024-03-18 23:15:56.229720,
1970,2353,2023-12-31 19:35:21.908496,
1886,2336,2023-11-09 21:28:12.583428,
1547,2259,2024-08-18 03:23:39.140030,2024-08-18 15:37:39.140030
1523,2894,2023-12-03 02:07:30.250611,
1184,2906,2024-08-22 19:06:59.212754,
1162,2579,2024-03-19 06:14:24.677439,2024-03-20 03:19:24.677439
1839,2066,2023-12-24 11:36:21.538261,
1447,2416,2023-10-10 12:58:25.196301,
1738,2946,2023-11-22 10:26:31.849421,
1396,2711,2024-08-26 00:51:19.817773,2024-08-26 07:30:19.817773
1326,2893,2023-12-20 23:28:42.800046,
1750,2070,2024-04-27 00:30:09.654330,
1214,2852,2024-04-23 03:38:14.969506,2024-04-23 09:51:14.969506
1861,2584,2023-10-15 20:40:39.570925,
1052,2289,2024-05-02 20:26:55.022593,
1239,2133,2024-04-14 21:21:26.871427,2024-04-15 17:15:26.871427
1374,2373,2024-04-10 19:30:52.345807,
1755,2479,2023-11-13 06:24:36.864807,2023-11-13 17:50:36.864807
1635,2688,2024-04-26 19:44:28.855339,
1087,2225,2024-08-06 04:25:48.073962,2024-08-07 03:31:48.073962
1163,2610,2024-01-13 01:11:56.162948,
1350,2909,2024-08-14 04:39:10.424359,
1827,2837,2023-09-26 18:48:21.760941,
1181,2743,2024-07-23 05:24:19.025719,
1792,2189,2023-10-11 09:41:12.189036,2023-10-12 08:03:12.189036
1493,2923,2024-08-23 04:26:26.654374,2024-08-23 13:55:26.654374
1187,2550,2024-06-19 08:18:13.342142,
1988,2738,2023-12-17 09:37:00.614328,
1224,2154,2023-11-27 17:36:08.384843,
1147,2905,2024-04-07 16:55:26.653369,
1182,2637,2024-04-24 11:53:48.428912,2024-04-25 05:40:48.428912
1772,2894,2023-09-22 19:11:08.106057,2023-09-22 20:19:08.106057
1029,2372,2024-08-01 10:26:23.892708,
1870,2442,2024-03-29 00:06:28.615845,2024-03-29 16:43:28.615845
1021,2551,2024-05-03 04:30:42.864955,
1046,2066,2023-12-31 01:47:28.169663,2023-12-31 20:46:28.169663
1338,2123,2023-12-10 04:14:51.578580,
1611,2291,2024-07-02 14:44:13.175210,
1615,2897,2024-02-07 01:24:58.658051,
1486,2596,2024-02-24 09:21:56.468015,2024-02-25 03:20:56.468015
1898,2210,2024-05-20 05:55:40.687301,2024-05-20 21:59:40.687301
1970,2581,2023-11-08 11:24:06.933221,
1930,2188,2024-02-10 12:56:49.721138,
1415,2010,2024-02-28 08:53:42.560187,2024-02-28 20:13:42.560187
1502,2085,2024-01-13 23:45:11.068639,2024-01-14 13:47:11.068639
1689,2387,2023-11-03 05:04:18.958485,
1218,2701,2024-07-22 09:16:41.137543,
1346,2230,2024-01-06 08:45:27.103225,
1026,2584,2024-09-06 14:28:56.632103,
1271,2123,2024-01-15 21:08:31.606213,2024-01-16 01:31:31.606213
1948,2047,2024-02-04 08:45:38.711406,
1888,2208,2024-06-15 13:30:48.425193,
1149,2834,2024-03-17 19:53:56.136477,
1678,2090,2023-10-20 12:29:22.360344,2023-10-20 18:31:22.360344
1174,2217,2023-12-09 00:43:21.858777,
1776,2609,2023-10-26 11:42:15.539179,
1832,2486,2024-02-22 22:45:26.657200,2024-02-23 05:00:26.657200
1959,2853,2023-11-02 04:36:22.336258,
1788,2264,2023-09-30 05:18:01.833545,
1031,2498,2024-08-22 00:43:25.477424,
1777,2271,2024-07-23 08:45:34.486631,
1394,2797,2024-02-11 10:58:31.707846,
1804,2084,2024-08-28 08:22:47.290052,2024-08-28 17:35:47.290052
1342,2839,2024-08-06 07:08:48.559922,
1744,2093,2024-07-04 20:27:29.641938,2024-07-05 03:23:29.641938
1432,2678,2024-08-17 18:44:54.687460,2024-08-18 01:01:54.687460
1225,2505,2024-06-01 02:56:43.450434,
1511,2603,2023-11-20 01:44:48.616103,2023-11-20 18:16:48.616103
1220,2840,2023-11-08 22:27:50.425698,
1389,2554,2024-09-09 12:08:07.770014,2024-09-09 23:28:07.770014
1873,2283,2024-02-29 05:41:45.431247,
1834,2537,2024-07-28 19:28:22.640263,
1923,2129,2024-03-11 09:32:06.400808,2024-03-12 01:24:06.400808
1665,2694,2023-10-14 15:03:19.519336,
1006,2637,2024-02-02 08:46:23.788127,
1565,2578,2024-02-25 17:40:50.666692,2024-02-26 12:10:50.666692
1599,2002,2023-12-08 15:52:34.161236,2023-12-09 05:21:34.161236
1404,2103,2024-04-11 19:09:40.139086,
1212,2577,2023-09-29 12:13:55.855114,2023-09-30 01:00:55.855114
1897,2117,2023-12-23 12:00:31.691980,2023-12-23 13:49:31.691980
1495,2771,2024-04-16 23:24:46.111813,
1331,2216,2024-07-15 13:55:27.795326,2024-07-16 04:04:27.795326
1449,2536,2024-05-14 08:51:39.147587,2024-05-14 17:55:39.147587
1484,2976,2023-12-25 02:30:30.235561,2023-12-25 06:37:30.235561
1950,2207,2023-09-14 17:23:16.240642,2023-09-15 06:08:16.240642
1994,2779,2023-10-21 00:00:01.112272,
1730,2115,2023-10-30 15:44:53.668740,
1837,2483,2023-12-17 08:00:45.477856,2023-12-18 02:23:45.477856
1978,2482,2024-01-23 08:01:32.413095,2024-01-24 00:47:32.413095
1178,2215,2024-02-06 00:32:06.294638,
1039,2259,2023-09-28 06:17:26.299600,2023-09-28 07:10:26.299600
1538,2161,2023-09-30 10:08:33.635116,2023-10-01 03:18:33.635116
1895,2455,2024-04-03 22:27:30.494389,2024-04-04 03:07:30.494389
